pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_mnum
Kepler-885,Kepler-885 b,Transit,1,18.11472949,0.00005308,-0.00005308,0,,,,,,,,,,,,,,,,,0.223,0.036,-0.035,0,632.00,100.88,-67.37,0,6187.00,71.23,-58.44,0,1.21,0.07,-0.05,0,,,,,0
Kepler-886,Kepler-886 b,Transit,1,6.24146367,0.00002154,-0.00002154,0,,,,,,,,,,,,,,,,,0.136,0.037,-0.017,0,857.00,227.98,-111.91,0,6098.00,97.10,-117.80,0,1.10,0.10,-0.08,0,,,,,0
Kepler-887,Kepler-887 b,Transit,2,20.42228798,0.00009225,-0.00009225,0,,,,,,,,,,,,,,,,,0.164,0.024,-0.015,0,831.00,118.63,-74.76,0,6194.00,62.11,-49.68,0,1.19,0.05,-0.04,0,,,,,0
Kepler-887,Kepler-887 c,Transit,2,7.63846023,0.00004957,-0.00004957,0,,,,,,,,,,,,,,,,,0.101,0.015,-0.010,0,831.00,118.63,-74.76,0,6194.00,62.11,-49.68,0,1.19,0.05,-0.04,0,,,,,0
Kepler-888,Kepler-888 b,Transit,1,70.69790610,0.00030860,-0.00030860,0,,,,,,,,,,,,,,,,,0.157,0.007,-0.005,0,413.00,14.13,-13.30,0,5875.00,66.36,-56.70,0,0.97,0.03,-0.03,0,,,,,0
Kepler-889,Kepler-889 b,Transit,1,3.74443900,0.00001366,-0.00001366,0,,,,,,,,,,,,,,,,,0.097,0.017,-0.012,0,513.00,90.07,-58.09,0,5961.00,75.23,-59.95,0,1.14,0.07,-0.05,0,,,,,0
Kepler-890,Kepler-890 b,Transit,1,52.75875577,0.00003345,-0.00003345,0,,,,,,,,,,,,,,,,,0.793,0.255,-0.095,0,1387.00,439.65,-168.91,0,5954.00,84.71,-101.27,0,1.09,0.10,-0.07,0,,,,,0
Kepler-891,Kepler-891 b,Transit,1,53.44945593,0.00006578,-0.00006578,0,,,,,,,,,,,,,,,,,0.572,0.130,-0.054,0,1372.00,313.53,-135.01,0,5887.00,115.84,-117.44,0,1.06,0.08,-0.06,0,,,,,0
Kepler-892,Kepler-892 b,Transit,1,13.75210720,0.00003106,-0.00003106,0,,,,,,,,,,,,,,,,,0.251,0.033,-0.024,0,640.00,25.07,-34.99,0,4747.00,47.29,-45.63,0,0.75,0.03,-0.04,0,,,,,0
Kepler-893,Kepler-893 b,Transit,1,6.33855761,0.00001361,-0.00001361,0,,,,,,,,,,,,,,,,,0.270,0.046,-0.033,0,1216.00,199.77,-104.85,0,5820.00,98.79,-75.60,0,1.00,0.05,-0.06,0,,,,,0
Kepler-894,Kepler-894 b,Transit,1,9.80322400,0.00003027,-0.00003027,0,,,,,,,,,,,,,,,,,0.248,0.027,-0.030,0,1090.00,123.63,-108.79,0,5603.00,83.94,-60.71,0,0.87,0.06,-0.07,0,,,,,0
Kepler-895,Kepler-895 b,Transit,1,2.80624233,0.00000817,-0.00000817,0,,,,,,,,,,,,,,,,,0.137,0.008,-0.006,0,516.00,25.27,-23.29,0,4315.00,42.14,-38.65,0,0.65,0.03,-0.03,0,,,,,0
Kepler-896,Kepler-896 b,Transit,1,144.54739600,0.00227400,-0.00227400,0,,,,,,,,,,,,,,,,,0.226,0.016,-0.017,0,896.00,59.85,-65.23,0,5262.00,56.73,-52.21,0,0.84,0.04,-0.05,0,,,,,0
Kepler-897,Kepler-897 b,Transit,1,8.04726420,0.00002943,-0.00002943,0,,,,,,,,,,,,,,,,,0.213,0.059,-0.022,0,1147.00,311.52,-127.69,0,5839.00,103.48,-143.96,0,1.03,0.06,-0.07,0,,,,,0
Kepler-898,Kepler-898 b,Transit,1,5.87061910,0.00002070,-0.00002070,0,,,,,,,,,,,,,,,,,0.133,0.027,-0.008,0,479.00,18.86,-20.18,0,4223.00,42.74,-38.02,0,0.65,0.03,-0.03,0,,,,,0
Kepler-899,Kepler-899 b,Transit,1,19.17891293,0.00008075,-0.00008075,0,,,,,,,,,,,,,,,,,0.239,0.041,-0.023,0,1038.00,184.74,-107.00,0,5595.00,270.58,-192.07,0,0.93,0.08,-0.07,0,,,,,0
Kepler-9,Kepler-9 b,Transit,3,19.23891000,0.00006000,-0.00006000,0,0.143000,0.007000,-0.006000,0,0.060900,0.001000,-0.001300,0,88.982,0.007,-0.005,0,0.13655,0.00503,-0.00629,0,0.740,0.048,-0.038,0,614.00,13.00,-13.00,0,5774.00,60.00,-60.00,0,1.02,0.03,-0.04,0,43.40000,1.60000,-2.00000,0,0
Kepler-9,Kepler-9 c,Transit,3,38.98530000,0.00030000,-0.00030000,0,0.227000,0.012000,-0.008000,0,0.066910,0.000100,-0.000120,0,89.188,0.005,-0.006,0,0.09408,0.00346,-0.00409,0,0.721,0.048,-0.037,0,614.00,13.00,-13.00,0,5774.00,60.00,-60.00,0,1.02,0.03,-0.04,0,29.90000,1.10000,-1.30000,0,0
Kepler-9,Kepler-9 d,Transit,3,1.59285100,0.00004500,-0.00004500,0,0.027300,0.000420,-0.000430,0,,,,,,,,,,,,,0.146,0.017,-0.012,0,614.00,13.00,-13.00,0,5774.00,60.00,-60.00,0,1.02,0.03,-0.04,0,,,,,0
KOI-351,Kepler-90 i,Transit,8,14.44912000,0.00020000,-0.00020000,0,,,,,,,,,89.200,0.590,-1.300,0,,,,,0.118,0.019,-0.019,0,780.00,100.00,-100.00,0,6080.00,260.00,-170.00,0,1.20,0.10,-0.10,0,,,,,0
Kepler-900,Kepler-900 b,Transit,1,6.99130860,0.00001434,-0.00001434,0,,,,,,,,,,,,,,,,,0.186,0.011,-0.030,0,505.00,23.27,-25.42,0,4836.00,83.81,-69.99,0,0.78,0.03,-0.04,0,,,,,0
Kepler-901,Kepler-901 b,Transit,1,3.51749439,0.00000352,-0.00000352,0,,,,,,,,,,,,,,,,,0.122,0.006,-0.005,0,241.00,14.92,-15.04,0,4184.00,52.61,-49.25,0,0.59,0.04,-0.04,0,,,,,0
Kepler-902,Kepler-902 b,Transit,1,40.10995470,0.00015510,-0.00015510,0,,,,,,,,,,,,,,,,,0.227,0.029,-0.016,0,904.00,116.01,-67.81,0,5647.00,73.28,-88.98,0,0.95,0.04,-0.05,0,,,,,0
Kepler-903,Kepler-903 b,Transit,2,10.35077210,0.00005128,-0.00005128,0,,,,,,,,,,,,,,,,,0.179,0.031,-0.032,0,829.00,142.58,-71.62,0,5682.00,77.93,-110.73,0,0.98,0.05,-0.05,0,,,,,0
Kepler-903,Kepler-903 c,Transit,2,62.92285570,0.00073530,-0.00073530,0,,,,,,,,,,,,,,,,,0.226,0.036,-0.040,0,829.00,142.58,-71.62,0,5682.00,77.93,-110.73,0,0.98,0.05,-0.05,0,,,,,0
Kepler-904,Kepler-904 b,Transit,1,3.02166863,0.00000893,-0.00000893,0,,,,,,,,,,,,,,,,,0.158,0.053,-0.021,0,1151.00,382.57,-162.87,0,6160.00,119.73,-149.12,0,1.16,0.14,-0.09,0,,,,,0
Kepler-905,Kepler-905 b,Transit,1,5.08274652,0.00000837,-0.00000837,0,,,,,,,,,,,,,,,,,0.126,0.004,-0.004,0,521.00,12.97,-12.44,0,5461.00,58.65,-55.12,0,0.95,0.02,-0.03,0,,,,,0
Kepler-906,Kepler-906 b,Transit,1,41.69799760,0.00015950,-0.00015950,0,,,,,,,,,,,,,,,,,0.188,0.009,-0.009,0,758.00,33.55,-33.89,0,6035.00,72.63,-62.37,0,1.06,0.04,-0.04,0,,,,,0
Kepler-907,Kepler-907 b,Transit,1,15.86621821,0.00006487,-0.00006487,0,,,,,,,,,,,,,,,,,0.107,0.005,-0.004,0,352.00,15.67,-14.13,0,6106.00,84.34,-82.33,0,1.08,0.07,-0.06,0,,,,,0
Kepler-908,Kepler-908 b,Transit,1,1.34059747,0.00000195,-0.00000195,0,,,,,,,,,,,,,,,,,0.109,0.009,-0.007,0,250.00,17.65,-15.56,0,5973.00,89.43,-95.84,0,1.11,0.04,-0.04,0,,,,,0
Kepler-909,Kepler-909 b,Transit,1,13.93290318,0.00004462,-0.00004462,0,,,,,,,,,,,,,,,,,0.131,0.014,-0.010,0,318.00,33.11,-22.67,0,6154.00,62.02,-57.72,0,1.17,0.04,-0.04,0,,,,,0
Kepler-91,Kepler-91 b,Transit,1,6.24658000,0.00008000,-0.00008000,0,0.073100,0.003400,-0.003100,0,,,,,69.680,0.670,-0.570,0,0.81000,0.18000,-0.17000,0,1.367,0.069,-0.060,0,1344.56,43.59,-43.59,0,4550.00,75.00,-75.00,0,1.31,0.10,-0.10,0,257.44230,57.20940,-54.03110,0,0
Kepler-910,Kepler-910 b,Transit,1,2.36436901,0.00000883,-0.00000883,0,,,,,,,,,,,,,,,,,0.073,0.004,-0.003,0,402.00,10.73,-11.54,0,6230.00,78.42,-71.69,0,1.26,0.03,-0.03,0,,,,,0
Kepler-911,Kepler-911 b,Transit,1,20.31050100,0.00005659,-0.00005659,0,,,,,,,,,,,,,,,,,0.232,0.009,-0.009,0,567.00,18.07,-21.55,0,6112.00,58.03,-62.20,0,1.34,0.05,-0.09,0,,,,,0
Kepler-912,Kepler-912 b,Transit,1,2.53475627,0.00000798,-0.00000798,0,,,,,,,,,,,,,,,,,0.250,0.075,-0.045,0,1265.00,394.63,-207.83,0,5998.00,277.89,-268.31,0,1.07,0.15,-0.10,0,,,,,0
Kepler-913,Kepler-913 b,Transit,1,10.29672521,0.00003426,-0.00003426,0,,,,,,,,,,,,,,,,,0.184,0.007,-0.005,0,597.00,13.64,-13.67,0,4687.00,34.09,-30.74,0,0.63,0.01,-0.01,0,,,,,0
Kepler-914,Kepler-914 b,Transit,1,4.40966548,0.00001193,-0.00001193,0,,,,,,,,,,,,,,,,,0.123,0.015,-0.011,0,678.00,77.58,-54.99,0,5877.00,74.15,-65.03,0,1.10,0.05,-0.04,0,,,,,0
Kepler-915,Kepler-915 b,Transit,1,4.59489604,0.00001413,-0.00001413,0,,,,,,,,,,,,,,,,,0.134,0.029,-0.017,0,806.00,174.96,-100.57,0,6173.00,70.33,-51.89,0,1.21,0.09,-0.05,0,,,,,0
Kepler-916,Kepler-916 b,Transit,1,32.29687980,0.00024890,-0.00024890,0,,,,,,,,,,,,,,,,,0.157,0.012,-0.012,0,769.00,52.27,-46.79,0,5248.00,98.84,-91.38,0,0.85,0.04,-0.05,0,,,,,0
Kepler-917,Kepler-917 b,Transit,1,2.97041437,0.00000913,-0.00000913,0,,,,,,,,,,,,,,,,,0.170,0.021,-0.015,0,1027.00,130.82,-86.23,0,5418.00,120.33,-70.72,0,0.80,0.07,-0.05,0,,,,,0
Kepler-918,Kepler-918 b,Transit,1,4.85386933,0.00003676,-0.00003676,0,,,,,,,,,,,,,,,,,0.155,0.036,-0.019,0,1245.00,284.43,-141.11,0,6028.00,134.42,-163.81,0,1.11,0.10,-0.07,0,,,,,0
Kepler-919,Kepler-919 b,Transit,1,11.04603384,0.00006600,-0.00006600,0,,,,,,,,,,,,,,,,,0.201,0.078,-0.026,0,1219.00,467.51,-159.10,0,6113.00,132.90,-172.00,0,1.15,0.15,-0.09,0,,,,,0
Kepler-92,Kepler-92 b,Transit,3,13.74900000,,,0,,,,,,,,,,,,,0.20200,0.04400,-0.04400,0,0.313,0.009,-0.009,0,484.62,5.48,-5.48,0,5883.00,,,0,,,,,64.30000,13.90000,-13.90000,0,0
Kepler-92,Kepler-92 c,Transit,3,26.72300000,,,0,,,,,,,,,,,,,0.01900,0.00600,-0.00600,0,0.232,0.007,-0.007,0,484.62,5.48,-5.48,0,5883.00,,,0,,,,,6.10000,1.80000,-1.80000,0,0
